iter	MultiClass
0	1.946873859
1	1.668746713
2	1.475094035
3	1.322436786
4	1.215391677
5	1.115052598
6	1.021510949
7	0.9417341819
8	0.8745605765
9	0.8127854854
10	0.7616156556
11	0.7086390173
12	0.6737166063
13	0.6355567567
14	0.6084598081
15	0.5786703877
16	0.5542611433
17	0.5307584072
18	0.5105145945
19	0.4932407398
20	0.4809550165
21	0.4712523311
22	0.4622426499
23	0.4509123277
24	0.4427463781
25	0.433358926
26	0.4194533352
27	0.4115192348
28	0.4052845862
29	0.400616001
30	0.394729248
31	0.3784983504
32	0.3721862419
33	0.367009074
34	0.3598031703
35	0.3565510599
36	0.3510513821
37	0.3467142957
38	0.3421641355
39	0.3401009501
40	0.3353305075
41	0.3268908356
42	0.3207392711
43	0.3191693062
44	0.3157750269
45	0.3122876864
46	0.3082897659
47	0.3052484418
48	0.3017971526
49	0.2994919512
50	0.2987635528
51	0.2980217345
52	0.2965723054
53	0.2942283453
54	0.2936106755
55	0.2930917403
56	0.2918230355
57	0.2873868796
58	0.2857642633
59	0.2850065701
60	0.2838157638
61	0.2817217276
62	0.2811838063
63	0.2794358727
64	0.2735412152
65	0.2720131056
66	0.2692635093
67	0.2672980234
68	0.2666008045
69	0.2654967723
70	0.2631560746
71	0.2622869572
72	0.2609499937
73	0.2604204117
74	0.2599914502
75	0.2596528758
76	0.2593802834
77	0.2586440434
78	0.2582994372
79	0.2580810852
80	0.2576395107
81	0.2571492074
82	0.2523115323
83	0.2516722544
84	0.251027276
85	0.2507485541
86	0.2486708923
87	0.2483071486
88	0.2480094761
89	0.2471756293
90	0.2469566898
91	0.2464956443
92	0.2440046279
93	0.2429828525
94	0.2427552231
95	0.2423310499
96	0.2420201199
97	0.2418101827
98	0.240564537
99	0.2402967237
100	0.2398761417
101	0.2382911305
102	0.2380884156
103	0.236421841
104	0.2358900297
105	0.2356858244
106	0.2354766001
107	0.2337031805
108	0.2334028943
109	0.233162153
110	0.2311024869
111	0.2276211271
112	0.2267745422
113	0.2265899022
114	0.2262802013
115	0.2259359219
116	0.2257846891
117	0.2244720551
118	0.2241530281
119	0.2233565615
120	0.2228914983
121	0.2225555236
122	0.2222791315
123	0.2220585117
124	0.2209026434
125	0.220697703
126	0.2192070352
127	0.2183401765
128	0.218129419
129	0.2178728965
130	0.2176690799
131	0.2174142863
132	0.2172158457
133	0.217010975
134	0.2168249954
135	0.2155364732
136	0.215261859
137	0.2150704209
138	0.2147712254
139	0.2145136104
140	0.2142948288
141	0.214003172
142	0.2121400191
143	0.2119638805
144	0.2113645602
145	0.2072479566
146	0.2069405489
147	0.2067877528
148	0.206097558
149	0.2051041622
