iter	Passed	Remaining
0	3262	486182
1	6839	506149
2	10063	493113
3	13410	489498
4	16917	490605
5	20005	480124
6	23502	480116
7	26679	473553
8	30616	479656
9	34751	486525
10	37385	472414
11	40753	468662
12	44774	471855
13	50100	486688
14	53961	485649
15	56662	474547
16	60765	475398
17	63809	467937
18	66737	460136
19	70743	459829
20	73731	452920
21	76293	443891
22	78814	435195
23	82142	431246
24	84987	424935
25	88589	422505
26	93683	426778
27	96190	419115
28	98716	411884
29	101216	404865
30	104277	400292
31	107367	395917
32	110618	392192
33	114787	391628
34	119636	393091
35	123832	392136
36	127101	388174
37	131348	387132
38	135955	386950
39	139145	382650
40	142723	379435
41	146311	376229
42	149859	372906
43	152593	367611
44	155531	362906
45	158366	358045
46	161373	353647
47	164269	349073
48	167220	344679
49	170415	340831
50	173099	336016
51	176165	332004
52	179568	328643
53	182863	325090
54	185997	321269
55	189087	317396
56	191734	312829
57	194821	309027
58	197409	304479
59	200609	300913
60	203783	297323
61	206764	293471
62	209806	289733
63	212702	285818
64	215664	282022
65	218409	277975
66	221262	274100
67	224806	271090
68	228257	267954
69	231123	264140
70	234290	260689
71	237589	257388
72	240579	253761
73	243521	250103
74	246458	246458
75	249523	242957
76	252552	239433
77	255733	236061
78	258705	232507
79	261680	228970
80	264776	225550
81	267904	222164
82	270685	218504
83	273529	214915
84	276504	211444
85	279520	208014
86	282638	204668
87	285699	201288
88	288343	197628
89	291296	194197
90	293945	190579
91	297079	187289
92	300095	183929
93	303101	180571
94	306593	177501
95	309429	174054
96	312574	170787
97	315653	167489
98	319106	164388
99	322120	161060
100	325303	157820
101	328209	154451
102	331672	151345
103	334638	148013
104	337499	144642
105	340203	141216
106	343267	137948
107	346083	134588
108	349093	131310
109	351929	127974
110	354894	124692
111	358063	121485
112	361019	118209
113	364015	114952
114	367007	111698
115	369957	108435
116	373057	105221
117	376153	102007
118	379120	98762
119	382032	95508
120	385655	92429
121	388895	89254
122	391970	86042
123	394712	82762
124	397799	79559
125	400457	76277
126	403545	73083
127	407097	69969
128	410039	66750
129	412812	63509
130	415663	60287
131	418756	57103
132	421829	53918
133	425395	50793
134	428429	47603
135	431317	44400
136	434591	41238
137	437759	38066
138	440556	34864
139	443853	31703
140	447119	28539
141	450358	25372
142	453302	22189
143	456583	19024
144	459567	15847
145	462606	12674
146	466251	9515
147	468995	6337
148	472003	3167
149	474793	0
