merchant_name,category,brand
BIL/ZOLO STAYS RENT/246226482,Rent,ZOLO STAYS RENT
GAS CONNECTION BILL,Utilities,GASCONNECTIONBILL
UPI/CONSULTANCY FEE RECEIVED/161217307,Income,CONSULTANCY FEE RECEIVED
IMPS/276879621/CASH WITHDRAWAL AXIS BANK,Cash,CASH WITHDRAWAL AXIS BANK
BOOKMYSHOW PURCHASE 434458248,Entertainment,BOOKMYSHOW
MOJO PIZZA PURCHASE 716435189,Food,MOJO PIZZA
ECONOMIC TIMES PREMIUM,Subscriptions,ECONOMICTIMESPREMIUM
LEASE PAYMENT MONTHLY,Rent,LEASEPAYMENTMONTHLY
UPI-INDIGO AIRLINES-898649166@ybl,Transport,INDIGO AIRLINES
POS/STARBUCKS/910015485,Food,STARBUCKS
UPI/SMS CHARGE/438990181,Other,SMS CHARGE
POS STANZA LIVING RENT MUMBAI,Rent,STANZA LIVING RENT
DR LAL PATHLABS PURCHASE 619512107,Health,DR LAL PATHLABS
ANNUAL MAINTENANCE CHARGE PURCHASE 632773755,Other,ANNUAL MAINTENANCE CHARGE
BIL/REIMBURSEMENT CREDIT/822816092,Income,REIMBURSEMENT CREDIT
UPI/CONSULTANCY FEE RECEIVED/910185625,Income,CONSULTANCY FEE RECEIVED
UPI/AUDIBLE/576690322,Subscriptions,AUDIBLE
GOOGLE ONE,Subscriptions,GOOGLE ONE
burger king payment,Food,BURGER KING
NEFT CR-REIMBURSEMENT CREDIT-953011821,Income,REIMBURSEMENT CREDIT
PUNE MUNICIPAL WATER,Utilities,PUNEMUNICIPALWATER
POS/FAMILY TRANSFER/123894155,Transfers,FAMILY TRANSFER
UPI-BSNL-297842828@apl,Utilities,BSNL
NEFT CR-GOOGLE ONE-540152727,Subscriptions,GOOGLE ONE
IMPS/839995701/NGO DONATION,Other,NGO DONATION
spotify payment,Subscriptions,SPOTIFY
ZERODHA KITE*940928459,Investment,ZERODHA KITE
UPI-SPOTIFY-786796049@oksbi,Subscriptions,SPOTIFY
ACH DR-ZERODHA KITE,Investment,ZERODHA KITE
UPI/ATM WITHDRAWAL SBI/796703831,Cash,ATM WITHDRAWAL SBI
NEFT CR-PRACTO-960559442,Health,PRACTO
POS/ANGEL ONE/372439905,Investment,ANGEL ONE
UPI-FAASOS-484194737@paytm,Food,FAASOS
BIL/LINKEDIN PREMIUM/405808958,Subscriptions,LINKEDIN PREMIUM
UPI-INOX MOVIES-243326602@oksbi,Entertainment,INOX MOVIES
UPI-TATA CLIQ-930655747@axl,Shopping,TATA CLIQ
UPI/PG RENT PAYMENT/348153502,Rent,PG RENT PAYMENT
IMPS/715796573/DIVIDEND CREDIT,Income,DIVIDEND CREDIT
POS/CAFE COFFEE DAY/556489494,Food,CAFE COFFEE DAY
NEFT DR-SBI MUTUAL FUND,Investment,SBI MUTUAL FUND
IMPS/287080422/ZERODHA KITE,Investment,ZERODHA KITE
CASH WITHDRAWAL KOTAK*608140620,Cash,CASH WITHDRAWAL KOTAK
POS TATA AIA LIFE DELHI,Insurance,TATA AIA LIFE
IKEA*897344195,Shopping,IKEA
POS/MEESHO/301373196,Shopping,MEESHO
POS/MICROSOFT 365/273279673,Subscriptions,MICROSOFT 365
HP PETROL PUMP*356896763,Transport,HP PETROL PUMP
BHARAT PETROLEUM ONLINE PAYMENT,Transport,BHARAT PETROLEUM
MCDONALDS 01AUG,Food,MCDONALDS
STAR HEALTH INSURANCE*400574412,Insurance,STAR HEALTH INSURANCE
FASTAG RECHARGE*170285223,Transport,FASTAG RECHARGE
NEFT CR-CASH WITHDRAWAL AXIS BANK-316616149,Cash,CASH WITHDRAWAL AXIS BANK
NEFT CR-TATA POWER-200142973,Utilities,TATA POWER
NEFT CR-WATER BOARD BILL-146543311,Utilities,WATER BOARD BILL
UPI/COLLEGE FEES PAYMENT/636572834,Education,COLLEGE FEES PAYMENT
HP GAS BOOKING*520239344,Utilities,HP GAS BOOKING
NEFT CR-PHARMEASY-751482677,Health,PHARMEASY
ZOLO STAYS RENT 25DEC,Rent,ZOLO STAYS RENT
UPI/APOLLO PHARMACY/619548128,Health,APOLLO PHARMACY
MISCELLANEOUS CHARGE 08AUG,Other,MISCELLANEOUS CHARGE
VEDANTU 25JUL,Education,VEDANTU
FAASOS SI,Food,FAASOS
POS/MYNTRA/279218750,Shopping,MYNTRA
IMPS/471628615/INTEREST CREDIT,Income,INTEREST CREDIT
IMPS/124637806/CARE HEALTH INSURANCE,Insurance,CARE HEALTH INSURANCE
POS LIC PREMIUM PAYMENT PUNE,Insurance,LIC PREMIUM PAYMENT
BIL/MICROSOFT 365/751361677,Subscriptions,MICROSOFT 365
NEFT CR-BSNL-489447905,Utilities,BSNL
UPI/FAMILY TRANSFER/642954188,Transfers,FAMILY TRANSFER
UPI/AMAZON/609057994,Shopping,AMAZON
NEFT CR-PANTALOONS-203032434,Shopping,PANTALOONS
IMPS/831331585/BYJUS,Education,BYJUS
RD INSTALLMENT DEBIT,Transfers,RDINSTALLMENTDEBIT
BIL/AXIS MUTUAL FUND/105167612,Investment,AXIS MUTUAL FUND
REIMBURSEMENT CREDIT 15MAR,Income,REIMBURSEMENT CREDIT
UPI-NESTAWAY RENT-683681542@ybl,Rent,NESTAWAY RENT
UPI-LANDLORD PAYMENT-390537402@axl,Rent,LANDLORD PAYMENT
UPI-NYKAA-265037749@oksbi,Shopping,NYKAA
IMPS/853229478/SWIGGY,Food,SWIGGY
MUTUAL FUND SIP PURCHASE 888197392,Investment,MUTUAL FUND SIP
MAX HOSPITAL*699180220,Health,MAX HOSPITAL
NEFT CR-EXCITEL BROADBAND-453644935,Utilities,EXCITEL BROADBAND
POS/TEMPLE DONATION/365588669,Other,TEMPLE DONATION
ACH DR-PLAYSTATION STORE,Entertainment,PLAYSTATION STORE
LIC PREMIUM PAYMENT,Insurance,LIC PREMIUM PAYMENT
GYM APP SUBSCRIPTION*818406683,Subscriptions,GYM APP SUBSCRIPTION
POS/AXIS MUTUAL FUND/577341760,Investment,AXIS MUTUAL FUND
NESTAWAY RENT 10MAY,Rent,NESTAWAY RENT
INOX MOVIES*319143540,Entertainment,INOX MOVIES
ACH DR-CAFE COFFEE DAY,Food,CAFE COFFEE DAY
ACH DR-MAX HOSPITAL,Health,MAX HOSPITAL
IMPS/543182078/NYKAA,Shopping,NYKAA
